Tempo(ms), Tensão da Bateria(V) , Tensão do Jack
0, 7.481538, 0.000000
100, 7.486374, 0.000000
200, 7.471868, 0.000000
300, 7.476703, 0.000000
400, 7.471868, 0.000000
500, 7.471868, 0.000000
600, 7.471868, 0.000000
700, 7.476703, 0.000000
800, 7.471868, 0.000000
900, 7.471868, 0.000000
1000, 7.471868, 0.000000
1100, 7.476703, 0.000000
1200, 7.471868, 0.000000
1300, 7.471868, 0.000000
1400, 7.471868, 0.000000
1500, 7.471868, 0.000000
1600, 7.471868, 0.000000
1700, 7.486374, 0.000000
1800, 7.491209, 0.000000
1900, 7.486374, 0.000000
2000, 7.486374, 0.000000
2100, 7.486374, 0.000000
2200, 7.471868, 0.000000
2300, 7.471868, 0.000000
2400, 7.471868, 0.000000
2500, 7.476703, 0.000000
2600, 7.471868, 0.000000
2700, 7.476703, 0.000000
2800, 7.471868, 0.000000
2900, 7.462198, 0.000000
3000, 7.471868, 0.000000
3100, 7.476703, 0.000000
3200, 7.476703, 0.000000
3300, 7.476703, 0.000000
3400, 7.471868, 0.000000
3500, 7.471868, 0.000000
3600, 7.471868, 0.000000
3700, 7.486374, 0.000000
3800, 7.486374, 0.000000
3900, 7.486374, 0.000000
4000, 7.486374, 0.000000
4100, 7.486374, 0.000000
4200, 7.471868, 0.000000
4300, 7.471868, 0.000000
4400, 7.471868, 0.000000
4500, 7.476703, 0.000000
4600, 7.471868, 0.000000
4700, 7.476703, 0.000000
4800, 7.476703, 0.000000
4900, 7.471868, 0.000000
5000, 7.471868, 0.000000
5100, 7.471868, 0.000000
5200, 7.471868, 0.000000
5300, 7.476703, 0.000000
5400, 7.471868, 0.000000
5500, 7.467033, 0.000000
5600, 7.471868, 0.000000
5700, 7.486374, 0.000000
5800, 7.486374, 0.000000
5900, 7.486374, 0.000000
6000, 7.486374, 0.000000
6100, 7.486374, 0.000000
6200, 7.471868, 0.000000
6300, 7.476703, 0.000000
6400, 7.471868, 0.000000
6500, 7.476703, 0.000000
6600, 7.471868, 0.000000
6700, 7.476703, 0.000000
6800, 7.471868, 0.000000
6900, 7.471868, 0.000000
7000, 7.471868, 0.000000
7100, 7.471868, 0.000000
7200, 7.471868, 0.000000
7300, 7.471868, 0.000000
7400, 7.471868, 0.000000
7500, 7.476703, 0.000000
7600, 7.476703, 0.000000
7700, 7.486374, 0.000000
7800, 7.486374, 0.000000
7900, 7.486374, 0.000000
8000, 7.486374, 0.000000
8100, 7.486374, 0.000000
8200, 7.471868, 0.000000
8300, 7.471868, 0.000000
8400, 7.471868, 0.000000
8500, 7.476703, 0.000000
8600, 7.471868, 0.000000
8700, 7.471868, 0.000000
8800, 7.471868, 0.000000
8900, 7.471868, 0.000000
9000, 7.471868, 0.000000
9100, 7.471868, 0.000000
9200, 7.471868, 0.000000
9300, 7.471868, 0.000000
9400, 7.471868, 0.000000
9500, 7.471868, 0.000000
9600, 7.471868, 0.000000
9700, 7.481538, 0.000000
9800, 7.486374, 0.000000
9900, 7.486374, 0.000000
10000, 7.481538, 0.000000
10100, 7.486374, 0.000000
10200, 7.471868, 0.000000
10300, 7.471868, 0.000000
10400, 7.471868, 0.000000
10500, 7.471868, 0.000000
10600, 7.471868, 0.000000
10700, 7.471868, 0.000000
10800, 7.471868, 0.000000
10900, 7.471868, 0.000000
11000, 7.471868, 0.000000
11100, 7.471868, 0.000000
11200, 7.471868, 0.000000
11300, 7.471868, 0.000000
11400, 7.471868, 0.000000
11500, 7.471868, 0.000000
11600, 7.486374, 0.000000
11700, 7.486374, 0.000000
11800, 7.486374, 0.000000
11900, 7.486374, 0.000000
12000, 7.486374, 0.000000
12100, 7.471868, 0.000000
12200, 7.471868, 0.000000
12300, 7.471868, 0.000000
12400, 7.476703, 0.000000
12500, 7.471868, 0.000000
12600, 7.471868, 0.000000
12700, 7.471868, 0.000000
12800, 7.476703, 0.000000
12900, 7.476703, 0.000000
13000, 7.471868, 0.000000
13100, 7.471868, 0.000000
13200, 7.476703, 0.000000
13300, 7.471868, 0.000000
13400, 7.471868, 0.000000
13500, 7.471868, 0.000000
13600, 7.486374, 0.000000
13700, 7.486374, 0.000000
13800, 7.486374, 0.000000
13900, 7.486374, 0.000000
14000, 7.481538, 0.000000
14100, 7.471868, 0.000000
14200, 7.471868, 0.000000
14300, 7.471868, 0.000000
14400, 7.471868, 0.000000
14500, 7.471868, 0.000000
14600, 7.471868, 0.000000
14700, 7.471868, 0.000000
14800, 7.471868, 0.000000
14900, 7.471868, 0.000000
15000, 7.471868, 0.000000
15100, 7.457363, 0.000000
15200, 7.471868, 0.000000
15300, 7.476703, 0.000000
15400, 7.462198, 0.000000
15500, 7.471868, 0.000000
15600, 7.486374, 0.000000
15700, 7.486374, 0.000000
15800, 7.486374, 0.000000
15900, 7.481538, 0.000000
16000, 7.486374, 0.000000
16100, 7.471868, 0.000000
16200, 7.476703, 0.000000
16300, 7.471868, 0.000000
16400, 7.471868, 0.000000
16500, 7.471868, 0.000000
16600, 7.471868, 0.000000
16700, 7.471868, 0.000000
16800, 7.471868, 0.000000
16900, 7.471868, 0.000000
17000, 7.471868, 0.000000
17100, 7.471868, 0.000000
17200, 7.471868, 0.000000
17300, 7.471868, 0.000000
17400, 7.471868, 0.000000
17500, 7.471868, 0.000000
17600, 7.486374, 0.000000
17700, 7.486374, 0.000000
17800, 7.491209, 0.000000
17900, 7.486374, 0.000000
18000, 7.486374, 0.000000
18100, 7.471868, 0.000000
18200, 7.471868, 0.000000
18300, 7.471868, 0.000000
18400, 7.471868, 0.000000
18500, 7.471868, 0.000000
18600, 7.476703, 0.000000
18700, 7.471868, 0.000000
18800, 7.476703, 0.000000
18900, 7.471868, 0.000000
19000, 7.476703, 0.000000
19100, 7.471868, 0.000000
19200, 7.471868, 0.000000
19300, 7.471868, 0.000000
19400, 7.471868, 0.000000
19500, 7.471868, 0.000000
19600, 7.486374, 0.000000
19700, 7.486374, 0.000000
19800, 7.486374, 0.000000
19900, 7.486374, 0.000000
20000, 7.486374, 0.000000
20100, 7.471868, 0.000000
20200, 7.476703, 0.000000
20300, 7.471868, 0.000000
20400, 7.471868, 0.000000
